,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Clemson,ACC (Atlantic),10,2,0.833,9,1,0.9,43.5,20.2,16.82,1.07,1,1,3,
2,Notre Dame,ACC (Atlantic),10,2,0.833,9,1,0.9,33.4,19.7,11.32,1.23,10,2,5,
3,North Carolina State,ACC (Atlantic),8,4,0.667,7,3,0.7,30.3,29.2,0.35,-1.57,,23,,
4,Boston College,ACC (Atlantic),6,5,0.545,5,5,0.5,27.8,28.4,-0.04,-0.59,,,,
5,Wake Forest,ACC (Atlantic),4,5,0.444,3,4,0.429,36,32.8,-0.33,0.12,,,,
6,Louisville,ACC (Atlantic),4,7,0.364,3,7,0.3,29.5,26.6,-0.78,-1.87,,18,,
7,Florida State,ACC (Atlantic),3,6,0.333,2,6,0.25,25.8,36,-8.87,-1.54,,,,
8,Syracuse,ACC (Atlantic),1,10,0.091,1,9,0.1,17.8,32.7,-12.92,1.53,,,,
9,Miami (FL),ACC (Coastal),8,3,0.727,7,2,0.778,34,27,6.56,1.47,,7,22,
10,North Carolina,ACC (Coastal),8,4,0.667,7,3,0.7,41.7,29.4,7.03,-1.55,18,5,18,
11,Pitt,ACC (Coastal),6,5,0.545,5,5,0.5,29,24.5,1.54,-1.19,,21,,
12,Virginia Tech,ACC (Coastal),5,6,0.455,5,5,0.5,31.1,32.1,1.51,1.78,,19,,
13,Virginia,ACC (Coastal),5,5,0.5,4,5,0.444,30.7,29.6,-0.39,-0.09,,,,
14,Georgia Tech,ACC (Coastal),3,7,0.3,3,6,0.333,23.9,36.8,-7.85,0.05,,,,
15,Duke,ACC (Coastal),2,9,0.182,1,9,0.1,24.8,38.1,-12.88,-1.6,,,,
16,Cincinnati,American (East),9,1,0.9,7,0,1,37.5,16.8,14.92,-1.28,20,6,8,
17,UCF,American (East),6,4,0.6,5,3,0.625,42.2,33.2,5.92,-1.78,21,11,,
18,East Carolina,American (East),3,6,0.333,3,5,0.375,30.2,35.4,-6.43,-1.98,,,,
19,Temple,American (East),1,6,0.143,1,6,0.143,19.9,37.1,-19.25,-3.83,,,,
20,South Florida,American (East),1,8,0.111,0,7,0,23.1,39.9,-14.39,-1.28,,,,
